current,data,next
,"{'average_entry_score': None, 'deadline_time': '2025-08-15T17:30:00Z', 'id': 1, 'name': 'Gameweek 1', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-08-13T17:30:00Z', 'waivers_time': '2025-08-14T17:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-08-22T17:30:00Z', 'id': 2, 'name': 'Gameweek 2', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-08-20T17:30:00Z', 'waivers_time': '2025-08-21T17:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-08-29T17:30:00Z', 'id': 3, 'name': 'Gameweek 3', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-08-27T17:30:00Z', 'waivers_time': '2025-08-28T17:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-09-13T10:00:00Z', 'id': 4, 'name': 'Gameweek 4', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-09-11T10:00:00Z', 'waivers_time': '2025-09-12T10:00:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-09-20T10:00:00Z', 'id': 5, 'name': 'Gameweek 5', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-09-18T10:00:00Z', 'waivers_time': '2025-09-19T10:00:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-09-27T10:00:00Z', 'id': 6, 'name': 'Gameweek 6', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-09-25T10:00:00Z', 'waivers_time': '2025-09-26T10:00:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-10-04T12:30:00Z', 'id': 7, 'name': 'Gameweek 7', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-10-02T12:30:00Z', 'waivers_time': '2025-10-03T12:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-10-18T12:30:00Z', 'id': 8, 'name': 'Gameweek 8', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-10-16T12:30:00Z', 'waivers_time': '2025-10-17T12:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-10-25T12:30:00Z', 'id': 9, 'name': 'Gameweek 9', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-10-23T12:30:00Z', 'waivers_time': '2025-10-24T12:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-11-01T13:30:00Z', 'id': 10, 'name': 'Gameweek 10', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-10-30T13:30:00Z', 'waivers_time': '2025-10-31T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-11-08T13:30:00Z', 'id': 11, 'name': 'Gameweek 11', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-11-06T13:30:00Z', 'waivers_time': '2025-11-07T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-11-22T13:30:00Z', 'id': 12, 'name': 'Gameweek 12', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-11-20T13:30:00Z', 'waivers_time': '2025-11-21T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-11-29T13:30:00Z', 'id': 13, 'name': 'Gameweek 13', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-11-27T13:30:00Z', 'waivers_time': '2025-11-28T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-12-03T18:30:00Z', 'id': 14, 'name': 'Gameweek 14', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-12-01T18:30:00Z', 'waivers_time': '2025-12-02T18:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-12-06T13:30:00Z', 'id': 15, 'name': 'Gameweek 15', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-12-04T13:30:00Z', 'waivers_time': '2025-12-05T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-12-13T13:30:00Z', 'id': 16, 'name': 'Gameweek 16', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-12-11T13:30:00Z', 'waivers_time': '2025-12-12T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-12-20T13:30:00Z', 'id': 17, 'name': 'Gameweek 17', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-12-18T13:30:00Z', 'waivers_time': '2025-12-19T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-12-27T13:30:00Z', 'id': 18, 'name': 'Gameweek 18', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-12-25T13:30:00Z', 'waivers_time': '2025-12-26T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2025-12-30T18:30:00Z', 'id': 19, 'name': 'Gameweek 19', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2025-12-28T18:30:00Z', 'waivers_time': '2025-12-29T18:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-01-03T13:30:00Z', 'id': 20, 'name': 'Gameweek 20', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-01-01T13:30:00Z', 'waivers_time': '2026-01-02T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-01-07T18:30:00Z', 'id': 21, 'name': 'Gameweek 21', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-01-05T18:30:00Z', 'waivers_time': '2026-01-06T18:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-01-17T13:30:00Z', 'id': 22, 'name': 'Gameweek 22', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-01-15T13:30:00Z', 'waivers_time': '2026-01-16T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-01-24T13:30:00Z', 'id': 23, 'name': 'Gameweek 23', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-01-22T13:30:00Z', 'waivers_time': '2026-01-23T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-01-31T13:30:00Z', 'id': 24, 'name': 'Gameweek 24', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-01-29T13:30:00Z', 'waivers_time': '2026-01-30T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-02-07T13:30:00Z', 'id': 25, 'name': 'Gameweek 25', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-02-05T13:30:00Z', 'waivers_time': '2026-02-06T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-02-11T18:30:00Z', 'id': 26, 'name': 'Gameweek 26', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-02-09T18:30:00Z', 'waivers_time': '2026-02-10T18:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-02-21T13:30:00Z', 'id': 27, 'name': 'Gameweek 27', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-02-19T13:30:00Z', 'waivers_time': '2026-02-20T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-02-28T13:30:00Z', 'id': 28, 'name': 'Gameweek 28', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-02-26T13:30:00Z', 'waivers_time': '2026-02-27T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-03-04T18:30:00Z', 'id': 29, 'name': 'Gameweek 29', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-03-02T18:30:00Z', 'waivers_time': '2026-03-03T18:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-03-14T13:30:00Z', 'id': 30, 'name': 'Gameweek 30', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-03-12T13:30:00Z', 'waivers_time': '2026-03-13T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-03-21T13:30:00Z', 'id': 31, 'name': 'Gameweek 31', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-03-19T13:30:00Z', 'waivers_time': '2026-03-20T13:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-04-11T12:30:00Z', 'id': 32, 'name': 'Gameweek 32', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-04-09T12:30:00Z', 'waivers_time': '2026-04-10T12:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-04-18T12:30:00Z', 'id': 33, 'name': 'Gameweek 33', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-04-16T12:30:00Z', 'waivers_time': '2026-04-17T12:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-04-25T12:30:00Z', 'id': 34, 'name': 'Gameweek 34', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-04-23T12:30:00Z', 'waivers_time': '2026-04-24T12:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-05-02T12:30:00Z', 'id': 35, 'name': 'Gameweek 35', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-04-30T17:30:00Z', 'waivers_time': '2026-05-01T17:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-05-09T12:30:00Z', 'id': 36, 'name': 'Gameweek 36', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-05-07T12:30:00Z', 'waivers_time': '2026-05-08T12:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-05-17T12:30:00Z', 'id': 37, 'name': 'Gameweek 37', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-05-15T12:30:00Z', 'waivers_time': '2026-05-16T12:30:00Z'}",1
,"{'average_entry_score': None, 'deadline_time': '2026-05-24T13:30:00Z', 'id': 38, 'name': 'Gameweek 38', 'finished': False, 'highest_scoring_entry': None, 'trades_time': '2026-05-22T13:30:00Z', 'waivers_time': '2026-05-23T13:30:00Z'}",1
